samples	OralSite	colors
763921366-KG	KG	#99FF66
763921366-SUBP	SUBP	#CC00FF
763921366-SUPP	SUPP	#FF00FF
763921366-SV	SV	#00FFFF
763921366-TD	TD	#33FFFF
763921366-TH	TH	#33CCFF
763982056-BM	BM	#FF0066
763982056-HP	HP	#66FFFF
763982056-KG	KG	#99FF66
763982056-SUBP	SUBP	#CC00FF
763982056-SUPP	SUPP	#FF00FF
763982056-SV	SV	#00FFFF
763982056-TD	TD	#33FFFF
763982056-TH	TH	#33CCFF
764002286-BM	BM	#FF0066
764002286-HP	HP	#66FFFF
764002286-KG	KG	#99FF66
764002286-SUBP	SUBP	#CC00FF
764002286-SUPP	SUPP	#FF00FF
764002286-SV	SV	#00FFFF
764002286-TD	TD	#33FFFF
764002286-TH	TH	#33CCFF
764083206-BM	BM	#FF0066
764083206-HP	HP	#66FFFF
764083206-KG	KG	#99FF66
764083206-SUBP	SUBP	#CC00FF
764083206-SUPP	SUPP	#FF00FF
764083206-SV	SV	#00FFFF
764083206-TD	TD	#33FFFF
764083206-TH	TH	#33CCFF
764143897-BM	BM	#FF0066
764143897-HP	HP	#66FFFF
764143897-KG	KG	#99FF66
764143897-SUBP	SUBP	#CC00FF
764143897-SUPP	SUPP	#FF00FF
764143897-SV	SV	#00FFFF
764143897-TD	TD	#33FFFF
764143897-TH	TH	#33CCFF
764224817-BM	BM	#FF0066
764224817-HP	HP	#66FFFF
764224817-KG	KG	#99FF66
764224817-SUBP	SUBP	#CC00FF
764224817-SUPP	SUPP	#FF00FF
764224817-SV	SV	#00FFFF
764224817-TD	TD	#33FFFF
764224817-TH	TH	#33CCFF
764285508-BM	BM	#FF0066
764285508-HP	HP	#66FFFF
764285508-KG	KG	#99FF66
764285508-SUBP	SUBP	#CC00FF
764285508-SUPP	SUPP	#FF00FF
764285508-SV	SV	#00FFFF
764285508-TD	TD	#33FFFF
764285508-TH	TH	#33CCFF
764305738-BM	BM	#FF0066
764305738-HP	HP	#66FFFF
764305738-KG	KG	#99FF66
764305738-SUBP	SUBP	#CC00FF
764305738-SUPP	SUPP	#FF00FF
764305738-SV	SV	#00FFFF
764305738-TD	TD	#33FFFF
764305738-TH	TH	#33CCFF
764366428-BM	BM	#FF0066
764366428-HP	HP	#66FFFF
764366428-KG	KG	#99FF66
764366428-SUBP	SUBP	#CC00FF
764366428-SUPP	SUPP	#FF00FF
764366428-SV	SV	#00FFFF
764366428-TD	TD	#33FFFF
764366428-TH	TH	#33CCFF
764447348-BM	BM	#FF0066
764447348-HP	HP	#66FFFF
764447348-KG	KG	#99FF66
764447348-SUBP	SUBP	#CC00FF
764447348-SUPP	SUPP	#FF00FF
764447348-SV	SV	#00FFFF
764447348-TD	TD	#33FFFF
764447348-TH	TH	#33CCFF
764467579-BM	BM	#FF0066
764467579-HP	HP	#66FFFF
764467579-KG	KG	#99FF66
764467579-SUBP	SUBP	#CC00FF
764467579-SUPP	SUPP	#FF00FF
764467579-SV	SV	#00FFFF
